Hello World
File name: input/input_10.txt
blessed : 132
mortification--if : 132
said : 1716
he'd : 264
placing : 132
particular : 132
continued : 132
becoming : 132
time : 528
over : 396
callousness--that : 132
began : 132
she : 6072
something : 264
slow : 132
right : 132
bought : 132
these : 132
arthur : 264
else : 132
asked : 132
wiped : 132
ta'en : 132
death : 132
answer : 132
miles : 264
he : 9240
few : 132
pit-lad : 132
cleared : 132
bit : 264
he's : 396
touch : 264
bitter : 132
herself : 132
adventures : 132
sick : 132
big : 132
hospital : 396
mester's : 132
go : 1056
she's : 132
before : 132
made : 132
mathematics : 132
measuring : 132
trouble : 132
realised : 132
ivry : 132
leave : 132
could : 264
times : 132
usually : 132
examined : 132
left : 132
do : 528
tell : 264
extraordinarily : 264
painting : 132
man : 396
pity : 132
look : 528
stood : 132
rugged--and : 132
a : 8052
suffer : 132
o'clock : 132
won't : 396
till : 264
talked : 264
taking : 264
i : 4884
days : 132
what : 1452
nothing : 132
smashed : 132
slaved : 132
clever : 132
anywhere : 132
stupid : 132
you'd : 132
took : 792
by : 132
dear : 132
long : 396
enough : 264
who : 264
doctor : 132
would : 1056
any : 396
dead : 132
everybody : 132
light : 132
had : 2112
be : 1848
think : 264
get : 132
german : 132
far : 396
preferred : 132
much : 132
fingering : 132
and : 9636
near : 132
i'd : 396
often : 132
better : 264
against : 132
lighten : 132
doing : 132
wriggling : 132
boots--and : 132
i'm : 264
make : 132
walk : 132
favourably : 132
set : 132
morel : 1056
jolt : 264
through : 396
husband : 132
lad : 132
sister : 132
hospital--and : 132
soul's : 132
as'll : 132
hands : 132
cottage : 132
touched : 132
disability : 132
men : 396
all : 1056
coat : 132
woman's : 132
five : 264
pebbles--they'll : 132
barker : 132
at : 2640
as : 2508
ax : 132
s'd : 132
walter : 132
moved : 132
great : 264
wooden : 264
ran : 132
see : 528
helping : 132
bitterly : 132
i'll : 132
take : 264
inside : 132
there : 924
an : 528
off : 396
youthful : 132
rejoiced : 132
brown : 396
badly : 264
bow : 132
